loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,loan_status,default
3747,60 months,17.39,G,10+ years,MORTGAGE,43048.02,debt_consolidation,TX,32.33,0,74.91,Charged Off,1
1189,60 months,14.27,G,3 years,MORTGAGE,68459.65,credit_card,NY,3.63,0,18.14,Fully Paid,0
20118,36 months,12.6,B,3 years,RENT,70730.86,other,NY,8.06,0,96.79,Fully Paid,0
2899,36 months,22.27,D,2 years,RENT,84923.98,home_improvement,CA,15.76,2,83.0,Fully Paid,0
2267,36 months,15.38,F,3 years,OWN,64293.67,other,TX,19.65,0,24.43,Fully Paid,0
32551,36 months,14.58,C,2 years,MORTGAGE,85229.99,credit_card,FL,14.52,1,22.69,Fully Paid,0
12394,60 months,5.51,A,1 year,OWN,113703.08,debt_consolidation,IL,13.17,0,16.94,Fully Paid,0
4556,36 months,11.82,F,10+ years,MORTGAGE,91310.02,debt_consolidation,CA,38.57,0,18.15,Fully Paid,0
4890,60 months,12.6,G,5 years,MORTGAGE,74038.23,home_improvement,FL,25.84,0,76.08,Charged Off,1
31740,60 months,12.98,G,1 year,OWN,71336.99,other,IL,1.43,2,49.62,Fully Paid,0
15502,36 months,16.6,C,10+ years,MORTGAGE,67866.54,car,NY,17.49,0,79.38,Fully Paid,0
22777,60 months,15.67,C,2 years,MORTGAGE,98612.82,other,NY,35.06,2,75.89,Fully Paid,0
11627,60 months,17.16,A,10+ years,MORTGAGE,62453.73,credit_card,TX,12.41,1,62.44,Fully Paid,0
9792,60 months,20.3,C,2 years,RENT,75904.45,car,IL,4.23,2,70.2,Fully Paid,0
9433,60 months,21.26,B,1 year,OWN,76023.96,debt_consolidation,NY,30.46,1,6.74,Fully Paid,0
12016,36 months,19.36,A,< 1 year,RENT,64964.32,home_improvement,NY,24.44,0,34.62,Fully Paid,0
24897,36 months,24.11,C,< 1 year,OWN,47550.69,home_improvement,TX,23.03,0,65.59,Fully Paid,0
3612,60 months,5.36,E,10+ years,OWN,81459.49,debt_consolidation,FL,2.62,0,5.89,Fully Paid,0
24483,36 months,8.92,F,< 1 year,MORTGAGE,73779.92,credit_card,NY,6.05,0,8.13,Fully Paid,0
18159,36 months,5.15,C,2 years,OWN,85004.81,debt_consolidation,CA,25.09,0,85.93,Fully Paid,0
15541,36 months,17.95,B,3 years,RENT,64327.99,credit_card,CA,8.71,0,69.98,Fully Paid,0
27531,36 months,22.96,D,2 years,RENT,99416.43,car,FL,20.41,0,30.21,Fully Paid,0
2585,36 months,9.87,C,3 years,RENT,57464.52,debt_consolidation,IL,22.02,0,70.36,Fully Paid,0
4943,60 months,23.54,G,1 year,OWN,109240.81,credit_card,TX,11.7,0,80.28,Charged Off,1
24939,36 months,6.21,G,5 years,RENT,40047.27,car,CA,37.96,0,34.15,Charged Off,1
20457,36 months,23.69,G,3 years,OWN,83695.4,debt_consolidation,CA,33.78,0,8.42,Fully Paid,0
2021,36 months,12.03,D,< 1 year,RENT,84508.61,home_improvement,FL,29.03,0,93.61,Fully Paid,0
12653,36 months,7.03,G,2 years,RENT,59088.86,debt_consolidation,IL,3.58,2,37.79,Fully Paid,0
14417,60 months,14.72,E,1 year,OWN,83487.88,other,IL,4.69,0,15.12,Fully Paid,0
10692,60 months,10.14,C,< 1 year,RENT,100590.37,debt_consolidation,FL,19.96,0,51.73,Fully Paid,0
7873,60 months,10.7,G,1 year,MORTGAGE,30663.62,other,CA,6.85,1,78.0,Fully Paid,0
6675,60 months,11.15,A,5 years,OWN,85054.9,car,TX,39.14,0,26.06,Fully Paid,0
1161,36 months,21.06,D,2 years,OWN,25134.58,debt_consolidation,CA,6.76,0,30.6,Fully Paid,0
27557,60 months,15.78,E,10+ years,OWN,55686.7,car,IL,19.75,1,28.06,Fully Paid,0
34763,36 months,11.23,A,2 years,MORTGAGE,107583.33,car,CA,14.88,2,99.21,Fully Paid,0
33606,36 months,17.21,A,5 years,OWN,63364.36,credit_card,TX,25.76,1,23.75,Fully Paid,0
12534,36 months,19.32,A,2 years,RENT,51522.4,car,NY,5.6,1,59.67,Fully Paid,0
30127,36 months,10.45,A,10+ years,RENT,71041.25,car,CA,17.5,1,92.9,Fully Paid,0
26851,36 months,13.27,C,3 years,RENT,116358.13,debt_consolidation,FL,11.35,1,18.96,Fully Paid,0
2016,60 months,7.44,G,1 year,OWN,38366.36,debt_consolidation,NY,35.57,0,97.23,Fully Paid,0
25253,60 months,8.62,F,10+ years,RENT,53973.8,home_improvement,FL,2.1,2,95.01,Fully Paid,0
25276,60 months,18.62,C,< 1 year,OWN,104948.63,credit_card,FL,36.59,0,89.03,Fully Paid,0
24247,60 months,8.63,C,5 years,RENT,112154.05,car,FL,33.4,0,25.38,Fully Paid,0
25300,36 months,15.5,E,3 years,MORTGAGE,72931.38,credit_card,CA,12.25,2,65.24,Fully Paid,0
9529,60 months,19.18,E,< 1 year,MORTGAGE,50218.95,other,IL,31.68,0,77.28,Fully Paid,0
18262,36 months,7.14,G,< 1 year,MORTGAGE,116916.87,car,NY,1.73,0,98.67,Fully Paid,0
10268,60 months,16.35,F,5 years,MORTGAGE,106888.85,credit_card,TX,38.69,1,22.14,Fully Paid,0
22271,36 months,10.13,E,3 years,OWN,88578.94,home_improvement,IL,21.3,0,77.77,Fully Paid,0
13185,36 months,24.26,G,< 1 year,RENT,58751.95,home_improvement,CA,12.48,1,37.19,Fully Paid,0
22243,60 months,14.67,G,< 1 year,MORTGAGE,74019.41,car,FL,14.82,0,21.68,Fully Paid,0
9571,36 months,21.12,B,3 years,OWN,71792.8,other,TX,3.12,0,45.03,Fully Paid,0
3568,36 months,16.0,F,2 years,MORTGAGE,81617.03,home_improvement,NY,39.58,0,80.41,Fully Paid,0
3027,60 months,5.87,E,< 1 year,MORTGAGE,104020.03,home_improvement,IL,2.05,0,49.16,Fully Paid,0
3695,36 months,17.66,F,1 year,OWN,92588.34,other,IL,26.37,0,56.06,Fully Paid,0
6258,60 months,24.03,C,3 years,OWN,53452.48,credit_card,TX,17.99,0,99.54,Fully Paid,0
23002,60 months,17.03,C,< 1 year,RENT,102529.93,home_improvement,CA,37.98,1,42.92,Fully Paid,0
34159,60 months,21.38,F,5 years,RENT,81262.64,debt_consolidation,NY,10.22,0,63.46,Fully Paid,0
14986,36 months,22.68,B,10+ years,MORTGAGE,88741.32,home_improvement,TX,21.52,0,39.7,Charged Off,1
13666,36 months,9.56,B,1 year,MORTGAGE,104330.82,credit_card,FL,19.55,0,42.31,Fully Paid,0
4561,36 months,9.24,F,10+ years,RENT,52768.4,credit_card,NY,28.26,1,71.09,Charged Off,1
27854,60 months,17.22,E,10+ years,RENT,74283.49,car,IL,3.19,1,94.1,Fully Paid,0
23662,36 months,13.22,D,< 1 year,OWN,64370.91,debt_consolidation,TX,8.15,0,56.52,Fully Paid,0
9392,60 months,21.8,B,1 year,RENT,43642.81,credit_card,IL,8.98,0,78.0,Fully Paid,0
31535,60 months,23.0,A,1 year,RENT,81934.2,other,IL,29.66,0,13.47,Fully Paid,0
14067,36 months,12.07,C,2 years,MORTGAGE,125231.13,debt_consolidation,IL,7.97,0,25.06,Fully Paid,0
24599,60 months,9.74,F,10+ years,RENT,38198.45,debt_consolidation,CA,23.15,1,52.7,Fully Paid,0
12837,36 months,20.61,A,1 year,MORTGAGE,74354.39,other,IL,9.0,0,6.9,Fully Paid,0
15039,36 months,10.5,F,2 years,RENT,87810.86,home_improvement,FL,34.53,0,29.02,Fully Paid,0
31818,36 months,21.45,G,3 years,OWN,77461.56,other,FL,37.72,0,54.15,Fully Paid,0
20115,36 months,13.47,C,2 years,RENT,72737.44,other,NY,20.98,0,6.42,Charged Off,1
11965,36 months,18.35,C,5 years,RENT,49015.67,home_improvement,IL,14.42,0,30.13,Fully Paid,0
25538,60 months,6.91,B,< 1 year,RENT,79655.73,home_improvement,IL,9.75,0,53.83,Fully Paid,0
6056,60 months,17.48,B,3 years,MORTGAGE,59864.72,home_improvement,TX,2.47,0,59.45,Fully Paid,0
33482,60 months,14.04,A,3 years,OWN,31201.57,home_improvement,CA,11.11,1,92.95,Fully Paid,0
9110,36 months,16.73,G,5 years,RENT,98891.84,home_improvement,NY,26.34,0,66.31,Fully Paid,0
14773,36 months,8.36,F,2 years,MORTGAGE,94167.72,other,IL,21.58,0,44.4,Fully Paid,0
28266,36 months,19.74,G,< 1 year,OWN,76033.22,car,TX,37.79,1,93.38,Fully Paid,0
18412,60 months,22.26,C,2 years,MORTGAGE,79581.49,car,CA,16.15,0,79.56,Fully Paid,0
34270,36 months,9.33,A,1 year,MORTGAGE,96486.36,credit_card,NY,27.91,0,24.0,Charged Off,1
7910,60 months,6.91,D,2 years,OWN,79486.79,car,NY,19.83,0,17.43,Fully Paid,0
26446,60 months,5.47,A,3 years,RENT,93080.35,car,IL,20.75,0,69.2,Charged Off,1
1206,36 months,17.84,E,< 1 year,MORTGAGE,69050.36,other,NY,11.08,2,58.19,Charged Off,1
22518,36 months,17.14,A,2 years,MORTGAGE,101239.67,home_improvement,TX,18.47,1,80.02,Fully Paid,0
23361,60 months,15.93,G,< 1 year,RENT,81415.71,home_improvement,NY,19.1,0,75.19,Fully Paid,0
24419,36 months,9.64,E,< 1 year,RENT,78881.04,other,FL,28.41,2,64.4,Fully Paid,0
23403,60 months,12.82,E,1 year,OWN,49598.78,car,TX,37.66,1,98.71,Fully Paid,0
19141,36 months,16.89,E,1 year,OWN,80739.12,other,CA,13.51,0,55.69,Fully Paid,0
15820,36 months,14.94,D,3 years,OWN,58360.9,credit_card,CA,2.17,0,15.75,Fully Paid,0
7374,60 months,24.76,A,5 years,RENT,62234.35,home_improvement,IL,20.1,0,83.69,Fully Paid,0
2678,36 months,7.73,G,< 1 year,MORTGAGE,58692.49,debt_consolidation,IL,22.01,0,28.93,Fully Paid,0
34827,60 months,18.9,A,5 years,MORTGAGE,53675.3,credit_card,FL,7.15,0,78.84,Charged Off,1
17198,36 months,13.09,D,3 years,OWN,117495.43,credit_card,CA,30.54,0,95.93,Fully Paid,0
10914,60 months,13.56,C,< 1 year,RENT,101626.78,other,CA,39.4,0,71.2,Fully Paid,0
28890,60 months,19.35,B,< 1 year,MORTGAGE,113407.35,car,CA,37.86,0,61.62,Charged Off,1
23299,36 months,18.85,G,10+ years,OWN,50542.1,home_improvement,CA,8.29,1,48.74,Fully Paid,0
3693,60 months,24.83,G,5 years,MORTGAGE,76425.07,debt_consolidation,NY,35.08,0,39.62,Fully Paid,0
30467,36 months,7.57,A,2 years,MORTGAGE,49129.85,credit_card,TX,28.33,0,38.54,Fully Paid,0
30723,36 months,7.08,B,1 year,RENT,61086.1,debt_consolidation,TX,18.43,0,65.46,Fully Paid,0
4627,36 months,19.49,F,2 years,RENT,56637.46,car,FL,21.85,1,76.37,Fully Paid,0
26939,60 months,16.57,F,5 years,MORTGAGE,99791.68,car,NY,34.06,1,69.46,Charged Off,1
22834,60 months,10.48,D,1 year,OWN,67075.41,debt_consolidation,CA,19.47,0,23.85,Fully Paid,0
19047,36 months,6.59,F,2 years,RENT,96367.59,home_improvement,CA,15.24,0,51.93,Fully Paid,0
27105,36 months,6.71,G,10+ years,MORTGAGE,87082.42,car,IL,19.98,0,80.21,Fully Paid,0
11230,60 months,22.88,F,1 year,RENT,121072.78,debt_consolidation,IL,23.38,0,50.19,Fully Paid,0
16707,36 months,8.84,C,< 1 year,RENT,45411.12,credit_card,FL,7.97,0,55.98,Charged Off,1
22976,36 months,11.47,C,2 years,RENT,100184.66,debt_consolidation,CA,36.09,0,78.26,Charged Off,1
24776,60 months,9.53,C,1 year,MORTGAGE,97928.82,debt_consolidation,FL,27.13,0,67.82,Fully Paid,0
31080,36 months,12.1,F,10+ years,OWN,55532.42,other,NY,25.51,1,43.89,Fully Paid,0
2306,60 months,6.39,D,1 year,OWN,95142.67,car,TX,4.43,0,90.06,Fully Paid,0
7776,36 months,15.38,E,1 year,OWN,81722.9,home_improvement,CA,24.36,0,20.44,Fully Paid,0
28251,60 months,6.35,E,10+ years,RENT,70450.47,home_improvement,NY,5.28,0,99.57,Fully Paid,0
10474,36 months,21.01,B,2 years,MORTGAGE,58521.29,other,CA,3.61,0,16.29,Fully Paid,0
22959,36 months,9.67,E,3 years,RENT,60617.81,home_improvement,IL,21.33,2,6.42,Charged Off,1
6530,60 months,15.8,E,2 years,OWN,115996.24,debt_consolidation,FL,16.41,0,89.55,Fully Paid,0
30320,36 months,22.6,C,5 years,OWN,75013.66,other,IL,23.76,0,28.27,Charged Off,1
4748,60 months,18.02,C,10+ years,MORTGAGE,90642.6,credit_card,TX,4.02,1,74.32,Fully Paid,0
32968,36 months,15.66,F,2 years,RENT,59182.01,car,IL,17.52,0,82.05,Fully Paid,0
33562,60 months,11.49,B,1 year,OWN,59402.94,car,CA,7.4,0,86.6,Charged Off,1
14545,60 months,11.66,A,10+ years,MORTGAGE,96639.7,car,IL,39.49,1,99.2,Fully Paid,0
1663,60 months,18.39,G,< 1 year,RENT,48008.48,debt_consolidation,CA,22.67,0,32.93,Charged Off,1
8994,60 months,24.88,B,2 years,RENT,66695.72,credit_card,TX,27.65,1,72.47,Fully Paid,0
29021,36 months,18.24,B,10+ years,OWN,75680.55,other,IL,13.35,1,15.96,Fully Paid,0
31303,36 months,16.16,D,2 years,OWN,77227.45,other,FL,4.24,1,43.65,Charged Off,1
4304,60 months,19.61,F,10+ years,RENT,71418.13,car,FL,39.05,0,85.56,Fully Paid,0
18675,60 months,14.3,D,1 year,RENT,82916.4,credit_card,FL,11.81,1,39.93,Charged Off,1
24938,60 months,6.2,B,< 1 year,OWN,88857.12,credit_card,IL,17.24,1,61.15,Charged Off,1
24664,36 months,16.25,B,< 1 year,RENT,89692.75,credit_card,IL,26.17,1,52.86,Fully Paid,0
2636,36 months,24.15,B,5 years,OWN,55283.92,home_improvement,IL,1.48,1,66.37,Fully Paid,0
21080,36 months,8.51,E,10+ years,RENT,69316.9,home_improvement,CA,32.51,2,97.42,Fully Paid,0
28728,36 months,18.8,G,2 years,OWN,98895.26,car,TX,21.69,2,10.29,Fully Paid,0
27736,60 months,9.02,G,< 1 year,MORTGAGE,92892.94,credit_card,FL,11.49,0,59.53,Fully Paid,0
29673,60 months,15.72,D,< 1 year,OWN,47542.81,credit_card,CA,2.93,0,86.99,Fully Paid,0
1854,60 months,6.93,B,3 years,OWN,82029.6,other,FL,6.92,0,50.73,Fully Paid,0
25548,36 months,14.01,G,3 years,MORTGAGE,35435.5,other,CA,35.85,0,12.46,Fully Paid,0
8392,36 months,20.12,C,< 1 year,RENT,75938.7,car,IL,27.6,0,58.25,Fully Paid,0
22556,36 months,11.95,G,10+ years,MORTGAGE,112955.34,credit_card,FL,10.37,0,36.55,Charged Off,1
27309,60 months,18.3,F,5 years,OWN,56042.15,car,IL,3.09,0,19.72,Fully Paid,0
22919,60 months,20.91,F,< 1 year,RENT,58313.54,other,FL,27.78,0,85.66,Charged Off,1
5931,36 months,23.54,G,1 year,MORTGAGE,90280.6,other,NY,23.11,2,54.55,Fully Paid,0
33970,60 months,9.69,C,2 years,RENT,44143.97,home_improvement,CA,16.48,1,93.66,Fully Paid,0
13688,36 months,12.99,F,5 years,RENT,62344.9,car,NY,14.86,1,81.57,Fully Paid,0
26342,36 months,8.05,E,1 year,MORTGAGE,86928.82,car,CA,9.06,0,70.83,Fully Paid,0
3327,60 months,24.85,G,5 years,RENT,62314.28,credit_card,TX,26.95,3,5.48,Charged Off,1
1197,36 months,23.54,E,1 year,MORTGAGE,70280.6,credit_card,FL,38.84,0,45.64,Fully Paid,0
24509,60 months,15.8,G,2 years,OWN,89883.71,home_improvement,TX,7.44,0,23.76,Fully Paid,0
16087,36 months,21.84,A,2 years,RENT,83430.92,debt_consolidation,TX,24.09,0,91.53,Fully Paid,0
23671,60 months,15.42,A,3 years,OWN,80336.37,debt_consolidation,CA,17.26,0,21.59,Fully Paid,0
26184,60 months,17.47,A,10+ years,OWN,68217.55,debt_consolidation,NY,18.14,1,32.18,Fully Paid,0
28848,60 months,6.78,F,1 year,RENT,82401.22,car,IL,10.54,0,54.1,Fully Paid,0
21666,36 months,20.11,E,3 years,MORTGAGE,72525.35,car,CA,33.09,1,30.02,Fully Paid,0
16708,36 months,7.55,E,1 year,RENT,84156.11,other,IL,19.67,2,24.94,Fully Paid,0
27370,60 months,21.52,E,3 years,OWN,65061.36,car,TX,21.96,0,61.91,Charged Off,1
3811,60 months,20.64,C,2 years,OWN,71348.62,car,IL,12.54,0,13.45,Fully Paid,0
7546,36 months,19.17,E,5 years,MORTGAGE,55200.84,car,NY,7.68,0,10.53,Fully Paid,0
31206,36 months,5.72,C,3 years,RENT,74299.85,home_improvement,CA,3.89,0,40.36,Fully Paid,0
12411,36 months,11.06,A,1 year,OWN,58779.98,car,NY,28.71,0,73.46,Fully Paid,0
3911,60 months,10.26,A,1 year,OWN,52719.07,credit_card,NY,8.25,1,57.71,Charged Off,1
2734,36 months,12.2,F,10+ years,OWN,80173.22,credit_card,CA,27.76,1,45.17,Fully Paid,0
19227,36 months,6.75,G,2 years,MORTGAGE,79254.8,other,NY,15.92,0,58.75,Fully Paid,0
9680,60 months,23.74,A,1 year,OWN,90657.47,home_improvement,FL,16.92,1,39.72,Fully Paid,0
20360,36 months,16.08,G,< 1 year,OWN,66377.49,credit_card,FL,19.03,0,93.93,Fully Paid,0
19343,36 months,11.11,G,5 years,RENT,83161.06,home_improvement,FL,15.02,1,10.22,Fully Paid,0
6759,36 months,12.94,F,3 years,RENT,86015.95,home_improvement,IL,4.47,1,68.97,Fully Paid,0
24078,60 months,13.94,B,10+ years,OWN,83895.48,other,NY,12.73,0,89.67,Fully Paid,0
12111,60 months,17.01,B,5 years,OWN,58486.93,home_improvement,CA,26.72,2,81.37,Fully Paid,0
2802,60 months,15.31,D,2 years,RENT,77987.27,car,CA,26.8,1,22.48,Charged Off,1
9155,60 months,23.39,F,10+ years,MORTGAGE,82282.81,home_improvement,IL,11.81,0,33.11,Fully Paid,0
9120,60 months,14.94,D,3 years,MORTGAGE,75143.57,other,CA,18.67,0,73.12,Charged Off,1
22918,60 months,24.84,D,3 years,MORTGAGE,33270.45,other,FL,8.14,0,13.01,Fully Paid,0
21445,60 months,22.03,B,< 1 year,MORTGAGE,78209.79,other,NY,8.81,0,82.13,Charged Off,1
31306,36 months,9.17,F,2 years,MORTGAGE,119250.62,credit_card,CA,1.41,0,73.3,Fully Paid,0
17646,36 months,23.61,B,10+ years,MORTGAGE,67799.21,car,CA,35.92,0,74.31,Fully Paid,0
32065,60 months,7.33,D,10+ years,MORTGAGE,60438.46,credit_card,TX,8.82,1,14.52,Fully Paid,0
26199,36 months,21.35,F,1 year,MORTGAGE,82466.97,debt_consolidation,TX,9.49,1,73.19,Fully Paid,0
17371,36 months,12.61,D,< 1 year,RENT,81247.56,car,TX,11.54,0,69.58,Fully Paid,0
12835,60 months,22.56,E,< 1 year,MORTGAGE,98854.7,home_improvement,NY,5.53,0,83.94,Fully Paid,0
3049,36 months,22.36,G,10+ years,MORTGAGE,49842.64,other,FL,25.75,1,8.95,Fully Paid,0
32616,36 months,21.12,F,10+ years,MORTGAGE,89627.61,debt_consolidation,FL,3.47,0,7.2,Fully Paid,0
21932,36 months,20.8,F,5 years,OWN,86808.44,car,FL,5.8,0,40.44,Fully Paid,0
30855,36 months,11.09,G,5 years,RENT,72157.07,credit_card,NY,25.97,1,19.13,Fully Paid,0
8158,36 months,6.62,D,5 years,RENT,81773.75,other,NY,13.92,1,58.05,Fully Paid,0
8400,60 months,13.06,E,< 1 year,RENT,95589.15,credit_card,TX,28.46,1,92.15,Fully Paid,0
16151,60 months,8.47,C,1 year,MORTGAGE,92446.31,car,CA,22.52,1,42.19,Fully Paid,0
2154,60 months,18.9,G,3 years,MORTGAGE,52139.61,car,IL,10.61,0,85.27,Fully Paid,0
5499,36 months,11.92,B,5 years,OWN,91403.16,debt_consolidation,IL,26.21,1,5.02,Fully Paid,0
7295,60 months,24.51,D,1 year,RENT,73706.23,home_improvement,CA,5.09,0,21.01,Charged Off,1
13183,36 months,17.82,G,2 years,MORTGAGE,76457.48,credit_card,TX,21.69,0,7.89,Fully Paid,0
30299,36 months,21.45,G,5 years,RENT,76463.94,debt_consolidation,CA,17.77,1,36.17,Fully Paid,0
13874,36 months,7.65,F,3 years,OWN,71995.14,other,CA,11.08,1,91.28,Fully Paid,0
33711,36 months,22.24,B,2 years,OWN,98834.15,home_improvement,IL,24.36,0,14.21,Fully Paid,0
6539,60 months,23.46,B,2 years,OWN,73325.64,debt_consolidation,TX,34.92,1,62.61,Charged Off,1
3557,60 months,14.74,B,3 years,RENT,52609.08,credit_card,NY,39.96,0,47.89,Charged Off,1
17482,36 months,17.13,G,5 years,MORTGAGE,67129.4,car,IL,24.51,2,94.15,Fully Paid,0
3200,60 months,20.3,C,< 1 year,MORTGAGE,78573.89,other,NY,16.49,1,16.64,Fully Paid,0
3961,36 months,8.5,A,3 years,OWN,99584.3,credit_card,TX,9.4,1,25.14,Fully Paid,0
22357,60 months,15.05,D,3 years,MORTGAGE,87061.89,home_improvement,CA,10.66,0,7.81,Fully Paid,0
12969,60 months,12.97,A,3 years,OWN,57989.29,home_improvement,FL,19.44,2,46.22,Fully Paid,0
3869,36 months,7.93,G,2 years,RENT,124703.8,car,FL,15.01,0,31.39,Fully Paid,0
29643,60 months,12.35,A,1 year,OWN,80295.51,car,TX,36.6,0,87.64,Fully Paid,0
25736,36 months,6.36,G,< 1 year,RENT,100507.81,other,FL,15.05,0,62.47,Fully Paid,0
24328,60 months,5.52,A,5 years,OWN,71965.71,other,NY,15.25,0,63.34,Fully Paid,0
26876,36 months,7.7,B,5 years,MORTGAGE,85667.18,car,FL,15.65,0,55.53,Fully Paid,0
22295,36 months,24.26,E,1 year,MORTGAGE,91789.37,car,TX,33.55,1,13.73,Fully Paid,0
4987,60 months,15.99,B,3 years,OWN,99363.89,home_improvement,TX,26.21,1,47.28,Charged Off,1
23399,60 months,24.32,B,< 1 year,MORTGAGE,96147.37,car,NY,24.76,0,99.95,Fully Paid,0
34986,36 months,13.65,F,5 years,MORTGAGE,92443.94,debt_consolidation,FL,13.7,0,84.35,Fully Paid,0
21880,60 months,11.24,F,10+ years,MORTGAGE,68698.27,credit_card,FL,32.81,0,89.88,Charged Off,1
5735,60 months,15.12,A,5 years,RENT,63565.08,car,CA,2.02,2,83.21,Charged Off,1
5555,36 months,13.79,G,3 years,MORTGAGE,81652.15,other,IL,34.9,0,14.79,Fully Paid,0
20830,36 months,7.11,B,10+ years,RENT,93662.56,debt_consolidation,TX,20.75,0,26.61,Fully Paid,0
18429,60 months,17.82,A,1 year,OWN,70545.59,other,CA,16.23,2,5.3,Fully Paid,0
7893,36 months,9.32,F,< 1 year,MORTGAGE,96303.44,debt_consolidation,TX,20.14,1,33.83,Fully Paid,0
15373,36 months,17.39,E,1 year,MORTGAGE,104052.33,car,CA,26.86,0,15.32,Fully Paid,0
4436,36 months,18.0,D,1 year,MORTGAGE,56673.58,credit_card,IL,1.0,0,49.92,Charged Off,1
9754,60 months,8.04,A,< 1 year,OWN,58261.59,other,CA,34.93,2,69.33,Fully Paid,0
11677,60 months,6.23,E,< 1 year,RENT,72192.5,debt_consolidation,TX,18.15,0,88.08,Fully Paid,0
6895,36 months,20.62,D,5 years,RENT,81152.25,home_improvement,FL,14.05,0,76.18,Fully Paid,0
20738,60 months,14.2,C,5 years,MORTGAGE,64508.66,car,TX,5.96,0,94.17,Fully Paid,0
31746,36 months,6.16,A,< 1 year,OWN,102044.05,credit_card,NY,17.86,1,10.12,Fully Paid,0
33352,60 months,24.9,A,10+ years,OWN,83481.34,car,NY,20.1,2,6.16,Fully Paid,0
6600,36 months,6.16,C,2 years,OWN,75788.94,home_improvement,NY,16.44,0,67.83,Fully Paid,0
30124,36 months,18.9,C,5 years,OWN,46281.81,credit_card,NY,27.31,0,32.49,Fully Paid,0
28643,60 months,24.67,A,2 years,OWN,48683.68,home_improvement,IL,17.13,1,29.08,Fully Paid,0
10007,36 months,9.78,C,10+ years,RENT,80620.19,car,FL,38.48,1,36.43,Fully Paid,0
9208,60 months,7.84,B,< 1 year,RENT,32348.09,debt_consolidation,FL,24.17,0,30.63,Charged Off,1
19589,60 months,7.43,D,10+ years,RENT,95252.75,car,TX,32.4,2,53.59,Fully Paid,0
18453,36 months,11.07,D,5 years,MORTGAGE,71836.92,car,CA,4.82,0,46.81,Charged Off,1
33635,36 months,7.02,D,1 year,OWN,139861.86,car,TX,16.19,2,53.68,Fully Paid,0
34828,60 months,18.84,B,< 1 year,MORTGAGE,121158.33,other,TX,13.81,0,68.91,Fully Paid,0
19711,36 months,6.25,G,3 years,OWN,71371.02,home_improvement,TX,22.99,0,41.78,Fully Paid,0
4420,36 months,15.19,C,2 years,RENT,72873.26,home_improvement,TX,34.51,1,28.87,Fully Paid,0
32216,36 months,24.93,E,10+ years,MORTGAGE,94911.63,home_improvement,FL,3.59,0,20.79,Charged Off,1
1301,36 months,21.28,C,< 1 year,RENT,109063.45,other,CA,3.37,1,38.2,Charged Off,1
1699,36 months,17.3,A,10+ years,OWN,42239.42,debt_consolidation,TX,34.09,0,75.47,Fully Paid,0
1190,60 months,11.13,F,< 1 year,OWN,39272.49,car,FL,8.91,0,76.89,Fully Paid,0
11492,60 months,17.48,D,5 years,OWN,62559.3,debt_consolidation,TX,26.92,1,68.36,Fully Paid,0
7102,36 months,15.54,C,5 years,RENT,86654.75,other,NY,21.94,1,27.23,Charged Off,1
